Cabinet,Dept,Program,Expense Category,FY18 Actual,FY19 Actual,20 Budget,21 Budget
Mayors Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,"1,185,285","1,400,773","1,529,111","1,845,647"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,"179,041","85,769","83,334","74,334"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,"53,822","37,539","37,183","37,183"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,"7,543","8,801","7,213","7,213"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Equipment,"17,709","17,273","25,000","25,000"
Mayors Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,"290,674","424,842","442,035","451,211"
Mayors Cabinet,Mayor's Office,Mayor's Executive,Contractual Services, -   , -   ,"16,394","8,283"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,"1,379,993","1,493,172","1,526,774","1,273,099"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,"56,034","29,898","270,500","392,500"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,"2,298","10,966","6,500","6,500"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations, -   , -   ,"17,000","17,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,"370,624","390,688","560,559","484,854"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,"3,649","32,422","31,800","28,800"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials, -   ,"3,525","5,000","5,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,"5,638", -   ,"6,000","6,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Equipment,"1,071","1,688", -   , -   
Mayors Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,"600,052","545,064","739,656","751,707"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,"21,770","71,312","9,950","9,950"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,"1,473","1,206","4,550","2,216"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,"1,437","1,340","12,855","12,855"
Mayors Cabinet,Election Department,Election Administration,Personnel Services,"576,463","655,553","733,359","680,557"
Mayors Cabinet,Election Department,Election Administration,Contractual Services,"96,231","142,865","38,950","138,950"
Mayors Cabinet,Election Department,Election Administration,Supplies & Materials,"60,929","43,543","51,718","54,000"
Mayors Cabinet,Election Department,Election Administration,Current Charges & Obligations,216,"2,313","3,200","3,200"
Mayors Cabinet,Election Department,Election Administration,Equipment,"6,275","174,673","336,795","361,745"
Mayors Cabinet,Election Department,Voter Registration,Personnel Services,"341,845","364,052","385,903","394,463"
Mayors Cabinet,Election Department,Voter Registration,Contractual Services,605,"1,020","8,100",400
Mayors Cabinet,Election Department,Voter Registration,Supplies & Materials,"25,661","27,349","20,500","25,500"
Mayors Cabinet,Election Department,Election Activities,Personnel Services,"1,676,788","1,792,945","2,302,547","2,165,500"
Mayors Cabinet,Election Department,Election Activities,Contractual Services,"430,108","221,255","689,400","353,400"
Mayors Cabinet,Election Department,Election Activities,Supplies & Materials,"99,598","218,671","183,000","306,000"
Mayors Cabinet,Election Department,Election Activities,Current Charges & Obligations,"89,335","80,822","175,500","150,500"
Mayors Cabinet,Election Department,Annual Listing,Personnel Services,"290,843","283,916","349,124","376,487"
Mayors Cabinet,Election Department,Annual Listing,Contractual Services,"21,620","18,248","28,600","32,400"
Mayors Cabinet,Election Department,Annual Listing,Supplies & Materials,"189,361","178,465","217,500","219,000"
Mayors Cabinet,Intergovernmental Relations,IGR,Personnel Services,"737,451","802,025","980,210","1,022,156"
Mayors Cabinet,Intergovernmental Relations,IGR,Contractual Services,"166,177","189,168","241,939","187,673"
Mayors Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,"4,523","7,108","56,200","6,200"
Mayors Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,"185,592","186,417","192,350","192,830"
Mayors Cabinet,Intergovernmental Relations,IGR,Equipment, -   ,575, -   , -   
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,"103,061","105,787","108,982","108,468"
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,302,302, -   , -   
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,330,330,330,330
Mayors Cabinet,Law Department,Law Operations,Personnel Services,"1,124,658","862,712","1,083,020","893,657"
Mayors Cabinet,Law Department,Law Operations,Contractual Services,"181,371","288,801","150,543","361,225"
Mayors Cabinet,Law Department,Law Operations,Supplies & Materials,"14,246","13,632","19,725","23,675"
Mayors Cabinet,Law Department,Law Operations,Current Charges & Obligations,"35,461","24,958","18,350","23,227"
Mayors Cabinet,Law Department,Law Operations,Equipment,"300,000", -   , -   , -   
Mayors Cabinet,Law Department,Litigation,Personnel Services,"902,915","941,883","1,154,803","1,295,178"
Mayors Cabinet,Law Department,Litigation,Contractual Services,"1,402,935","1,318,403","1,573,635","1,589,225"
Mayors Cabinet,Law Department,Litigation,Supplies & Materials,295,264,"1,000","4,200"
Mayors Cabinet,Law Department,Litigation,Current Charges & Obligations,"17,458","26,919","33,550","33,491"
Mayors Cabinet,Law Department,Government Services,Personnel Services,"2,224,303","2,910,339","3,921,277","3,923,930"
Mayors Cabinet,Law Department,Government Services,Contractual Services,"270,624","67,215","323,763","294,755"
Mayors Cabinet,Law Department,Government Services,Supplies & Materials,"2,134","2,299","2,600","8,278"
Mayors Cabinet,Law Department,Government Services,Current Charges & Obligations,"27,023","21,595","95,100","82,867"
Mayors Cabinet,Human Right Commission,Human Rights,Personnel Services, -   , -   , -   ,"228,346"
Mayors Cabinet,Human Right Commission,Human Rights,Contractual Services, -   , -   , -   ,"10,400"
Mayors Cabinet,Human Right Commission,Human Rights,Supplies & Materials, -   , -   , -   ,"1,000"
Mayors Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations, -   , -   , -   ,"11,000"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,"241,411","255,380","293,644","302,673"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,201,"1,302","51,425","159,125"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,52,414,900,800
Mayors Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,286,140,219,219
Mayors Cabinet,Women's Advancement,Women's Commission Program,Equipment,750, -   , -   , -   
Operations,Property Management Department,PM Administration,Personnel Services,"1,926,736","1,754,757","1,702,002","2,961,597"
Operations,Property Management Department,PM Administration,Contractual Services,"251,398","141,212","98,398","90,898"
Operations,Property Management Department,PM Administration,Supplies & Materials,"32,649","27,956","7,400","27,775"
Operations,Property Management Department,PM Administration,Current Charges & Obligations,"64,410","123,771","103,900","73,670"
Operations,Property Management Department,PM Administration,Equipment, -   , -   , -   , -   
Operations,Property Management Department,Building Operations,Personnel Services,"1,431,585","1,572,728","1,752,561","1,631,351"
Operations,Property Management Department,Building Operations,Contractual Services,"5,749,635","6,128,280","6,726,672","6,632,652"
Operations,Property Management Department,Building Operations,Supplies & Materials,"151,681","145,519","176,841","140,000"
Operations,Property Management Department,Building Operations,Current Charges & Obligations,"9,303","10,469","7,000","37,000"
Operations,Property Management Department,Building Operations,Equipment,"38,099","50,060","61,148","54,702"
Operations,Property Management Department,Alterations & Repair,Personnel Services,"692,078","725,511","747,854","721,591"
Operations,Property Management Department,Alterations & Repair,Contractual Services,"1,776,441","3,223,502","1,468,954","718,954"
Operations,Property Management Department,Alterations & Repair,Supplies & Materials,"61,323","78,952","69,965","69,965"
Operations,Property Management Department,Alterations & Repair,Current Charges & Obligations, -   ,510, -   , -   
Operations,Property Management Department,Alterations & Repair,Equipment,"105,041","7,950", -   , -   
Operations,Property Management Department,Enforcement,Personnel Services,"2,486,008","2,622,679","2,333,965","1,102,968"
Operations,Property Management Department,Enforcement,Contractual Services,"209,467","107,187","95,464","88,464"
Operations,Property Management Department,Enforcement,Supplies & Materials,"97,959","66,974","80,220","100,703"
Operations,Property Management Department,Enforcement,Current Charges & Obligations,"6,627","6,034","8,000","8,000"
Operations,Property Management Department,Enforcement,Equipment,"52,656","22,611","5,000","15,408"
Operations,Property Management Department,Security Systems,Personnel Services,"777,158","683,578","745,944","671,833"
Operations,Property Management Department,Security Systems,Contractual Services,"4,967","7,315","16,000","15,700"
Operations,Property Management Department,Security Systems,Supplies & Materials,"19,042","15,734","20,130","20,130"
Operations,Property Management Department,Security Systems,Current Charges & Obligations,977,225,900,900
Operations,Property Management Department,Security Systems,Equipment,"10,356","20,550","20,066","13,534"
Operations,Property Management Department,Animal Control History,Contractual Services, -   , -   , -   , -   
Operations,Property Management Department,Animal Control History,Supplies & Materials, -   , -   , -   , -   
Operations,Property Management Department,Building Systems,Personnel Services,"733,213","791,331","889,315","816,674"
Operations,Property Management Department,Building Systems,Contractual Services,"1,205,407","1,256,909","1,598,201","1,515,701"
Operations,Property Management Department,Building Systems,Supplies & Materials,"31,909","20,347","54,500","54,500"
Operations,Property Management Department,Building Systems,Current Charges & Obligations,"1,528","1,600","2,500","2,500"
Operations,Property Management Department,Building Systems,Equipment,328,"2,015","3,000","3,000"
Operations,Public Facilities Department,Capital Construction,Personnel Services, -   , -   , -   , -   
Operations,Public Facilities Department,Capital Construction,Contractual Services, -   , -   , -   , -   
Operations,Public Facilities Department,Capital Construction,Supplies & Materials, -   , -   , -   , -   
Operations,Public Facilities Department,Capital Construction,Current Charges & Obligations, -   , -   , -   , -   
Operations,Public Facilities Department,PFD Capital Construction,Personnel Services,"5,062,271","6,024,250","6,857,557","6,949,649"
Operations,Public Facilities Department,PFD Capital Construction,Contractual Services,"335,904","452,420","250,705","235,020"
Operations,Public Facilities Department,PFD Capital Construction,Supplies & Materials,"32,381","26,337","41,043","41,175"
Operations,Public Facilities Department,PFD Capital Construction,Current Charges & Obligations,"13,638","29,925","14,584","14,700"
Operations,Public Facilities Department,PFD Capital Construction,Equipment,"4,980","21,940","5,800","5,800"
Operations,Inspectional Services Department,ISD Commissioner's Office,Personnel Services,"685,822","864,478","859,222","800,797"
Operations,Inspectional Services Department,ISD Commissioner's Office,Contractual Services,"410,853","473,139","416,948","401,631"
Operations,Inspectional Services Department,ISD Commissioner's Office,Supplies & Materials,"3,262","7,473","2,265","8,000"
Operations,Inspectional Services Department,ISD Commissioner's Office,Current Charges & Obligations,"60,317","39,114","29,545","29,800"
Operations,Inspectional Services Department,ISD Commissioner's Office,Equipment,"2,185",783, -   ,"2,561"
Operations,Inspectional Services Department,ISD Administration & Finance,Personnel Services,"1,882,498","1,797,764","2,004,127","2,301,558"
Operations,Inspectional Services Department,ISD Administration & Finance,Contractual Services,"401,810","416,994","385,701","467,279"
Operations,Inspectional Services Department,ISD Administration & Finance,Supplies & Materials,"141,627","133,024","135,844","206,950"
Operations,Inspectional Services Department,ISD Administration & Finance,Current Charges & Obligations,"743,802","701,655","681,192","850,052"
Operations,Inspectional Services Department,ISD Administration & Finance,Equipment,"86,498","106,034","19,073","12,235"
Operations,Inspectional Services Department,Buildings & Structures,Personnel Services,"5,543,508","6,026,944","6,789,203","8,082,665"
Operations,Inspectional Services Department,Buildings & Structures,Contractual Services,"592,277","551,793","345,798","412,939"
Operations,Inspectional Services Department,Buildings & Structures,Supplies & Materials,"41,617","34,304","29,795","24,505"
Operations,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,"10,019","5,757",370,"1,608"
Operations,Inspectional Services Department,Buildings & Structures,Equipment,"23,111","11,035","21,972","17,165"
Operations,Inspectional Services Department,Field Services,Personnel Services,"7,377,912","7,462,182","6,832,222","6,934,800"
Operations,Inspectional Services Department,Field Services,Contractual Services,"332,409","363,591","301,113","358,926"
Operations,Inspectional Services Department,Field Services,Supplies & Materials,"74,707","78,831","43,356","39,900"
Operations,Inspectional Services Department,Field Services,Current Charges & Obligations,"2,675","2,886","4,055","3,900"
Operations,Inspectional Services Department,Field Services,Equipment,"149,687","92,670","38,356","32,898"
Civic Engagement,Neighborhood Services,ONS Administration,Personnel Services,"506,253","412,124","559,331","665,543"
Civic Engagement,Neighborhood Services,ONS Administration,Contractual Services,"47,125","47,744","33,148","43,200"
Civic Engagement,Neighborhood Services,ONS Administration,Supplies & Materials,"5,027","4,328","1,631","9,423"
Civic Engagement,Neighborhood Services,ONS Administration,Current Charges & Obligations,"17,809","7,239","9,107","9,107"
Civic Engagement,Neighborhood Services,ONS Administration,Equipment,"9,049","1,880", -   , -   
Civic Engagement,Neighborhood Services,Neighborhood Serv,Personnel Services,"1,289,132","1,336,980","1,474,959","1,463,411"
Civic Engagement,Neighborhood Services,Neighborhood Serv,Contractual Services, -   ,"29,800","15,200","5,200"
Civic Engagement,Neighborhood Services,Neighborhood Serv,Supplies & Materials, -   ,"18,857","10,500","3,450"
Civic Engagement,Neighborhood Services,Public Service & Community Outreach,Personnel Services,"144,771","35,023","140,803","105,387"
Civic Engagement,Neighborhood Services,Public Service & Community Outreach,Contractual Services,807,138,"7,500","1,090"
Civic Engagement,Neighborhood Services,Public Service & Community Outreach,Supplies & Materials,380,296,"1,850",600
Civic Engagement,Neighborhood Services,Public Service & Community Outreach,Equipment,"5,340", -   , -   , -   
Civic Engagement,Neighborhood Services,Boston 311,Personnel Services,"1,027,823","1,059,157","1,112,181","1,230,494"
Civic Engagement,Neighborhood Services,Boston 311,Contractual Services,"7,737","73,407","350,227","350,585"
Civic Engagement,Neighborhood Services,Boston 311,Supplies & Materials, -   ,896,300,100
Civic Engagement,Neighborhood Services,Boston 311,Equipment,630,"16,875","1,600", -   
Arts & Culture,Office of Arts & Culture,Arts and Culture,Personnel Services,"830,374","782,758","1,042,658","1,198,637"
Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,"487,879","495,675","990,498","1,024,505"
Arts & Culture,Office of Arts & Culture,Arts and Culture,Supplies & Materials,"19,667","13,261","14,408","10,408"
Arts & Culture,Office of Arts & Culture,Arts and Culture,Current Charges & Obligations,"6,105","13,910","1,015","42,202"
Arts & Culture,Office of Arts & Culture,Arts and Culture,Equipment,"3,080","2,371","3,088", -   
Arts & Culture,Library Department,Library Administration,Personnel Services,"8,175,027","9,131,284","8,182,931","8,527,048"
Arts & Culture,Library Department,Library Administration,Contractual Services,"7,316,335","8,009,129","8,959,856","9,399,444"
Arts & Culture,Library Department,Library Administration,Supplies & Materials,"3,144,133","3,318,417","3,325,008","3,325,008"
Arts & Culture,Library Department,Library Administration,Current Charges & Obligations,"287,235","294,639","321,010","507,249"
Arts & Culture,Library Department,Library Administration,Equipment,"209,277","265,321","404,669","440,868"
Arts & Culture,Library Department,Library Administration,Other Expenses,"35,000","33,999","35,000","35,000"
Arts & Culture,Library Department,Community Library Services,Personnel Services,"14,670,046","15,499,893","17,124,237","17,438,356"
Arts & Culture,Library Department,Community Library Services,Contractual Services,"371,068","350,750","118,688","100,000"
Arts & Culture,Library Department,Community Library Services,Supplies & Materials,"2,986", -   , -   , -   
Arts & Culture,Library Department,Community Library Services,Current Charges & Obligations, -   ,"17,727","17,800", -   
Arts & Culture,Library Department,Research Services,Personnel Services,"1,543,404","1,738,327","2,045,703","1,859,936"
Arts & Culture,Library Department,Research Services,Contractual Services,"3,979","4,373", -   , -   
Economic Development Cabinet,Office of Economic Development,Economic Development,Personnel Services,"706,334","1,319,201","1,066,072","938,094"
Economic Development Cabinet,Office of Economic Development,Economic Development,Contractual Services,"46,876","355,279","78,914","52,684"
Economic Development Cabinet,Office of Economic Development,Economic Development,Supplies & Materials,"20,326","17,237","15,000","12,000"
Economic Development Cabinet,Office of Economic Development,Economic Development,Current Charges & Obligations,"19,080","36,105","23,059","24,055"
Economic Development Cabinet,Office of Economic Development,Economic Development,Equipment,"10,415","45,767","4,000","4,200"
Economic Development Cabinet,Office of Economic Development,Equity & Inclusion,Personnel Services,"593,191","677,403","866,415","1,271,691"
Economic Development Cabinet,Office of Economic Development,Equity & Inclusion,Contractual Services,"2,571","21,784","277,293","340,180"
Economic Development Cabinet,Office of Economic Development,Equity & Inclusion,Supplies & Materials,"4,914","5,622","3,430","3,430"
Economic Development Cabinet,Office of Economic Development,Equity & Inclusion,Current Charges & Obligations,190,845,600,600
Economic Development Cabinet,Office of Economic Development,Equity & Inclusion,Equipment,778, -   , -   , -   
Economic Development Cabinet,Office of Economic Development,Small & Local Business,Personnel Services,"531,814","569,647","663,784","308,375"
Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,"394,682","447,281","434,133","431,981"
Economic Development Cabinet,Office of Economic Development,Small & Local Business,Supplies & Materials,"6,014","6,617","12,810","12,810"
Economic Development Cabinet,Office of Economic Development,Small & Local Business,Current Charges & Obligations,"1,944","3,551",700,"3,500"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,"383,657","491,394","393,468","393,419"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,"2,802","3,120","4,300","4,250"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,"2,074","3,566","5,750","2,250"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,"2,281",770,"1,625","2,340"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,"3,088", -   , -   , -   
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,"88,083","102,490","114,938","193,111"
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,57, -   ,600,400
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Supplies & Materials,44, -   ,800,800
Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Current Charges & Obligations,"67,350","3,115", -   , -   
Economic Development Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,"570,301","580,518","798,082","884,030"
Economic Development Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,"5,009","6,424","7,250","6,880"
Economic Development Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,"16,608","16,990","17,050","17,250"
Economic Development Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,"10,400","11,015","9,650","10,975"
Economic Development Cabinet,Consumer Affairs & Licensing,Licensing_Board,Equipment, -   ,"2,746", -   , -   
Economic Development Cabinet,Office of Tourism,Tourism Administration,Personnel Services,"409,604","454,128","485,573","460,796"
Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,"36,009","35,412","33,150","31,960"
Economic Development Cabinet,Office of Tourism,Tourism Administration,Supplies & Materials,"14,176","10,956","14,900","12,400"
Economic Development Cabinet,Office of Tourism,Tourism Administration,Current Charges & Obligations,"5,818",553,300,450
Economic Development Cabinet,Office of Tourism,Film & Special Events,Personnel Services,"340,609","278,337","401,112","314,305"
Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services, -   ,"202,160","252,200","455,900"
Economic Development Cabinet,Office of Tourism,Film & Special Events,Supplies & Materials,"1,056","1,160", -   ,"1,180"
Economic Development Cabinet,Office of Tourism,Film & Special Events,Current Charges & Obligations,"52,316","55,539","60,000","60,000"
Economic Development Cabinet,Office of Tourism,Film & Special Events,Equipment,"12,062","1,676","2,000","2,000"
Economic Development Cabinet,Office of Tourism,Film & Special Events,Other Expenses,"192,753","201,889","200,000","200,000"
Economic Development Cabinet,Office of Tourism,Tourism,Personnel Services,"44,636","32,752","51,119","67,132"
Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,50,"2,865","4,000","4,500"
Economic Development Cabinet,Office of Tourism,Tourism,Supplies & Materials,"5,223","1,013","2,500","2,500"
Economic Development Cabinet,Office of Tourism,Tourism,Current Charges & Obligations, -   ,75,250,100
Economic Development Cabinet,Office of Tourism,Tourism,Other Expenses,"20,247","55,295","38,750","38,750"
Education,Boston Public Schools,Community Academy,Personnel Services,"1,383,998","1,378,897","1,717,864","1,962,003"
Education,Boston Public Schools,Community Academy,Contractual Services,"18,832","31,618","26,978","6,600"
Education,Boston Public Schools,Community Academy,Supplies & Materials,"9,686","17,627","13,018","11,000"
Education,Boston Public Schools,Community Academy,Equipment,"1,397",980, -   , -   
Education,Boston Public Schools,Roland Hayes Division of Music,Personnel Services,"695,577","728,445", -   , -   
Education,Boston Public Schools,Roland Hayes Division of Music,Contractual Services,"3,832","1,587", -   , -   
Education,Boston Public Schools,Roland Hayes Division of Music,Supplies & Materials,"18,554","14,078", -   , -   
Education,Boston Public Schools,Roland Hayes Division of Music,Equipment,"2,514","9,521", -   , -   
Education,Boston Public Schools,Ellison/Parks EES,Personnel Services,"2,637,423","2,771,364","3,301,436","3,510,141"
Education,Boston Public Schools,Ellison/Parks EES,Contractual Services,"9,920","61,804","8,150","79,050"
Education,Boston Public Schools,Ellison/Parks EES,Supplies & Materials,"59,021","44,469","24,281","24,281"
Education,Boston Public Schools,Ellison/Parks EES,Equipment, -   ,980,"4,814","16,453"
Education,Boston Public Schools,East Boston EEC,Personnel Services,"2,573,861","2,504,063","2,919,127","3,314,762"
Education,Boston Public Schools,East Boston EEC,Contractual Services, -   ,"5,075","5,000","7,000"
Education,Boston Public Schools,East Boston EEC,Supplies & Materials,"30,159","13,000","15,758","11,935"
Education,Boston Public Schools,East Boston EEC,Equipment,"24,159", -   , -   , -   
Education,Boston Public Schools,Baldwin ELC,Personnel Services,"2,637,799","2,608,500","2,618,935","2,687,020"
Education,Boston Public Schools,Baldwin ELC,Contractual Services,"129,545","46,784","99,899","204,996"
Education,Boston Public Schools,Baldwin ELC,Supplies & Materials, -   , -   , -   ,"34,306"
Education,Boston Public Schools,Haynes EEC,Personnel Services,"2,095,673","2,251,076","2,948,051","3,268,559"
Education,Boston Public Schools,Haynes EEC,Contractual Services,"16,093","54,138","53,186","53,975"
Education,Boston Public Schools,Haynes EEC,Supplies & Materials,"12,802","3,629","3,338","11,500"
Education,Boston Public Schools,Haynes EEC,Equipment,"9,796", -   ,"31,912","62,517"
Education,Boston Public Schools,West Zone ELC,Personnel Services,"1,884,638","1,800,467","2,090,918","2,236,889"
Education,Boston Public Schools,West Zone ELC,Contractual Services,"9,200",720,"13,575","5,000"
Education,Boston Public Schools,West Zone ELC,Supplies & Materials,"21,175","36,906","15,400","8,536"
Education,Boston Public Schools,West Zone ELC,Equipment,"3,679","5,411", -   , -   
Education,Boston Public Schools,Adams Elementary School,Personnel Services,"2,957,667","2,925,178","3,217,841","3,542,259"
Education,Boston Public Schools,Adams Elementary School,Contractual Services, -   ,"8,158","10,000","39,447"
Education,Boston Public Schools,Adams Elementary School,Supplies & Materials,"13,719","21,121","16,898","14,073"
Education,Boston Public Schools,Alighieri Montessori School,Personnel Services,"1,050,462","1,089,186","1,315,010","1,544,589"
Education,Boston Public Schools,Alighieri Montessori School,Supplies & Materials,"2,505","3,977","5,485","6,380"
Education,Boston Public Schools,Bates Elementary School,Personnel Services,"2,604,662","2,558,595","3,056,566","3,118,746"
Education,Boston Public Schools,Bates Elementary School,Contractual Services, -   ,"12,068", -   , -   
Education,Boston Public Schools,Bates Elementary School,Supplies & Materials,"10,542","7,265","7,044","7,021"
Education,Boston Public Schools,Bates Elementary School,Equipment, -   ,"1,590", -   , -   
Education,Boston Public Schools,Blackstone Elementary School,Personnel Services,"5,318,738","5,350,163","7,234,947","7,970,487"
Education,Boston Public Schools,Blackstone Elementary School,Contractual Services, -   ,"8,600", -   , -   
Education,Boston Public Schools,Blackstone Elementary School,Supplies & Materials,"45,843","75,429","2,886","21,997"
Education,Boston Public Schools,Blackstone Elementary School,Equipment,"42,109", -   , -   , -   
Education,Boston Public Schools,Bradley Elementary School,Personnel Services,"2,543,206","2,491,941","2,901,192","3,335,052"
Education,Boston Public Schools,Bradley Elementary School,Contractual Services,"3,282","2,575",350,"20,000"
Education,Boston Public Schools,Bradley Elementary School,Supplies & Materials,"4,596","4,595","14,812","62,483"
Education,Boston Public Schools,Channing Elementary School,Personnel Services,"1,846,366","1,907,086","2,771,193","3,017,591"
Education,Boston Public Schools,Channing Elementary School,Contractual Services,"63,595","20,000", -   , -   
Education,Boston Public Schools,Channing Elementary School,Supplies & Materials,"53,477","14,252","4,652","3,445"
Education,Boston Public Schools,Channing Elementary School,Equipment,"16,050", -   , -   , -   
Education,Boston Public Schools,Chittick Elementary School,Personnel Services,"3,542,293","3,416,941","4,104,121","4,405,084"
Education,Boston Public Schools,Chittick Elementary School,Contractual Services, -   ,"66,927", -   , -   
Education,Boston Public Schools,Chittick Elementary School,Supplies & Materials,"6,418","4,573","2,079","1,004"
Education,Boston Public Schools,Clap Elementary School,Personnel Services,"1,652,105","1,469,349","1,804,292","2,238,545"
Education,Boston Public Schools,Clap Elementary School,Contractual Services, -   ,981, -   ,"26,080"
Education,Boston Public Schools,Clap Elementary School,Supplies & Materials,"6,451","10,700","10,868","1,000"
Education,Boston Public Schools,Conley Elementary School,Personnel Services,"2,377,986","2,530,009","2,845,110","3,068,454"
Education,Boston Public Schools,Conley Elementary School,Contractual Services,"2,647","6,500", -   , -   
Education,Boston Public Schools,Conley Elementary School,Supplies & Materials,"11,798","15,331", -   ,"12,085"
Education,Boston Public Schools,Conley Elementary School,Equipment,606, -   , -   , -   
Education,Boston Public Schools,Dever Elementary School,Personnel Services,"3,595,800","3,593,132","4,808,899","4,903,891"
Education,Boston Public Schools,Dever Elementary School,Contractual Services,"11,164","65,917","73,309","50,017"
Education,Boston Public Schools,Dever Elementary School,Supplies & Materials,"101,356","146,768","15,967",741
Education,Boston Public Schools,Dever Elementary School,Equipment,"8,349","61,319","5,000", -   
Education,Boston Public Schools,Dudley St. Neighborhood School,Personnel Services,"2,109,264","2,180,378","2,517,871","2,721,430"
Education,Boston Public Schools,Dudley St. Neighborhood School,Contractual Services, -   ,"58,000","61,122", -   
Education,Boston Public Schools,Dudley St. Neighborhood School,Supplies & Materials,"4,554", -   , -   , -   
Education,Boston Public Schools,Ellis Elementary School,Personnel Services,"3,545,955","4,051,176","4,670,273","5,028,445"
Education,Boston Public Schools,Ellis Elementary School,Contractual Services,"16,831","70,000","64,449","58,568"
Education,Boston Public Schools,Ellis Elementary School,Supplies & Materials,"42,767","29,762","11,859","19,710"
Education,Boston Public Schools,Ellis Elementary School,Equipment, -   ,"6,751","13,630", -   
Education,Boston Public Schools,Everett Elementary School,Personnel Services,"2,184,842","2,384,159","2,653,552","3,180,695"
Education,Boston Public Schools,Everett Elementary School,Contractual Services,"3,120","20,000","1,722", -   
Education,Boston Public Schools,Everett Elementary School,Supplies & Materials,"16,941","9,376","3,721","7,699"
Education,Boston Public Schools,Everett Elementary School,Equipment, -   ,"1,713", -   , -   
Education,Boston Public Schools,Grew Elementary School,Personnel Services,"1,779,046","1,609,657","2,350,693","2,626,910"
Education,Boston Public Schools,Grew Elementary School,Contractual Services,"1,745","67,771","8,884", -   
Education,Boston Public Schools,Grew Elementary School,Supplies & Materials,"29,342","4,266","13,586","1,919"
Education,Boston Public Schools,Grew Elementary School,Equipment,169, -   , -   , -   
Education,Boston Public Schools,Guild Elementary School,Personnel Services,"2,757,380","2,485,015","3,025,240","3,622,792"
Education,Boston Public Schools,Guild Elementary School,Contractual Services, -   ,"60,000", -   , -   
Education,Boston Public Schools,Guild Elementary School,Supplies & Materials,"12,285","18,139","13,200","23,447"
Education,Boston Public Schools,Hale Elementary School,Personnel Services,"1,242,368","1,302,863","1,475,953","1,804,422"
Education,Boston Public Schools,Hale Elementary School,Contractual Services,"8,100","26,495","46,487","94,575"
Education,Boston Public Schools,Hale Elementary School,Supplies & Materials,"6,590","7,346","8,881","22,549"
